ID Caso,ID Caso Relacionado,Año,Mes,Día,Código DANE de Municipio,Municipio,Departamento,Región,Modalidad,Iniciativa,Tipo de Unidad Atacada,Grupo Armado 1,Descripción Grupo Armado 1,Grupo Armado 2,Descripción Grupo Armado 2,Grupo Armado 3,Descripción Grupo Armado 3,Lesionados Civiles,Grupo al que Pertenecen los Capturados,Capturados,Lesionados Combatientes,Militares,Policías,Otras Fuerzas Armadas Estatales,Agentes del Estado Sin Información,Total Agentes del Estado,Guerrilleros,Paramilitares,Grupos Posdesmovilización,Combatientes Sin Información,Otros Grupos Armados Organizados,Total Combatientes de Grupos Armados Organizados,Total Combatientes,Personas Sin Información,Total Civiles,Ventaja Militar,Total de Víctimas del Caso,latitud-longitud
14907,CR080100,2000,11,10,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,SUR DEL VALLE,HOSTIGAMIENTO,SIN INFORMACIÓN,UNIDAD FIJA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,,,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIN INFORMACIÓN,0,POINT (-76.57649259 3.399043723)
14908,,2000,11,11,19001,POPAYAN,CAUCA,MACIZO COLOMBIANO,ATAQUE A INSTALACIÓN DE LAS FUERZAS ARMADAS ESTATALES,GRUPOS ARMADOS ORGANIZADOS,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRUPOS ARMADOS ORGANIZADOS,0,POINT (-76.59194419 2.471704362)
1491,,1977,12,15,05234,DABEIBA,ANTIOQUIA,OCCIDENTE ANTIOQUEÑO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,FARC,5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FUERZAS ARMADAS ESTATALES,1,POINT (-76.31426328 6.992243782)
14910,,2000,11,11,86757,SAN MIGUEL,PUTUMAYO,BAJO PUTUMAYO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,FARC,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,FUERZAS ARMADAS ESTATALES,1,POINT (-76.84510459 0.272449048)
14911,,2000,11,11,27800,UNGUIA,CHOCO,URABA,COMBATE Y/O CONTACTO ARMADO,GRUPOS ARMADOS ORGANIZADOS,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,0,4,0,0,0,4,1,0,0,0,0,1,5,0,0,GRUPOS ARMADOS ORGANIZADOS,5,POINT (-77.10372723 8.117281079)
14912,,2000,11,11,44001,RIOHACHA,LA GUAJIRA,SIERRA NEVADA DE SANTA MARTA,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,DESCONOCIDO,NO APLICA,,,0,,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,GRUPOS ARMADOS ORGANIZADOS,1,POINT (-72.95876315 11.24297214)
14913,,2000,11,11,27800,UNGUIA,CHOCO,URABA,EMBOSCADA,OTRO,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,DESCONOCIDO,NO APLICA,,,0,,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,OTRO,5,POINT (-77.140279 8.283861056)
14914,,2000,11,11,18150,CARTAGENA DEL CHAIRA,CAQUETA,CAGUAN,HOSTIGAMIENTO,GRUPOS ARMADOS ORGANIZADOS,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GRUPOS ARMADOS ORGANIZADOS,1,POINT (-74.27235499 0.647693081)
14915,,2000,11,12,18247,EL DONCELLO,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,HOSTIGAMIENTO,NINGUNO,UNIDAD EN MOVIMIENTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC,,,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,NINGUNO,1,POINT (-75.26878109 1.713734697)
14916,,2000,11,13,86760,SANTIAGO,PUTUMAYO,ALTO PUTUMAYO,COMBATE Y/O CONTACTO ARMADO,FUERZAS ARMADAS ESTATALES,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,FARC,1,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,FUERZAS ARMADAS ESTATALES,4,POINT (-76.97751684 1.036021482)
14917,,2000,11,13,27800,UNGUIA,CHOCO,URABA,COMBATE Y/O CONTACTO ARMADO,NINGUNO,SIN INFORMACIÓN,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,FARC,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-77.10372723 8.117281079)
14918,,2000,11,13,81591,PUERTO RONDON,ARAUCA,LLANOS ORIENTALES,HOSTIGAMIENTO,NINGUNO,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,NO IDENTIFICADA,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-70.96678964 6.411761829)
14919,,2000,11,13,81736,SARAVENA,ARAUCA,SARARE,HOSTIGAMIENTO,NINGUNO,UNIDAD FIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,NO IDENTIFICADA,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NINGUNO,0,POINT (-71.85070757 6.906941714)
